1,0.000000,0.000000,5.167713
2,0.000000,0.000000,5.167713
3,0.000000,0.000000,5.167713
4,0.000000,0.000000,5.167713
5,0.000000,0.000000,5.167713
6,0.000000,0.000000,5.167713
7,0.000000,0.000000,5.167713
8,0.000000,0.000000,5.167713
9,0.000000,0.000000,5.167713
10,0.000000,0.000000,5.167713
11,0.000000,0.000000,5.167713
12,0.000000,0.000000,5.167713
13,0.000000,0.000000,5.167713
14,0.000000,0.000000,5.167713
15,0.000000,0.000000,5.167713
16,0.000000,0.000000,5.167713
20,0.000000,0.000000,5.167713
23,0.000000,0.000000,5.167713
28,0.000000,0.000000,5.167713
34,0.000000,0.000000,5.167713
40,0.000000,0.000000,5.167713
48,2.666667,3.617996,5.167713
58,3.310345,3.647842,5.167713
70,3.657143,3.480094,5.167713
84,6.095238,4.017620,5.167713
100,6.400000,3.763200,5.167713
121,5.818182,3.278315,5.167713
145,5.296552,2.870123,5.167713
174,4.413793,2.409685,5.167713
209,4.287081,2.169192,5.167713
252,4.317460,1.981954,5.167713
302,5.086093,1.952332,5.167713
364,5.098901,1.780350,5.167713
437,4.393593,1.517301,5.167713
525,4.266667,1.365618,5.167713
631,4.158479,1.230864,5.167713
759,4.469038,1.160416,5.167713
913,4.976999,1.111770,5.167713
1097,4.842297,1.001577,5.167713
1319,4.997726,0.926732,5.167713
1585,5.087697,0.852325,5.167713
1906,5.036726,0.773677,5.167713
2291,5.084243,0.708716,5.167713
2755,5.110708,0.647819,5.167713
3312,5.333333,0.602429,5.167713
3982,5.336012,0.549540,5.167713
4787,5.321078,0.500570,5.167713
5755,5.215639,0.452395,5.167713
6919,5.244689,0.413636,5.167713
8318,5.155085,0.374299,5.167713
10000,5.081600,0.339142,5.167713
12023,5.120852,0.310386,5.167713
14455,5.069526,0.281774,5.167713
17379,5.056217,0.256670,5.167713
20893,5.045135,0.233858,5.167713
25119,5.037143,0.213126,5.167713
30200,5.073377,0.195010,5.167713
36308,5.051889,0.177508,5.167713
43652,5.081646,0.162324,5.167713
52481,5.069416,0.147878,5.167713
63096,5.034107,0.134436,5.167713
75858,5.050278,0.122787,5.167713
91202,5.040591,0.111885,5.167713
109648,5.052970,0.102155,5.167713
131826,5.066557,0.093281,5.167713
158490,5.102152,0.085346,5.167713
190547,5.124447,0.077991,5.167713
229087,5.131186,0.071172,5.167713
275423,5.148851,0.065011,5.167713
331132,5.153715,0.059316,5.167713
398108,5.153657,0.054097,5.167713
478631,5.159917,0.049364,5.167713
575440,5.160239,0.045022,5.167713
691831,5.168337,0.041090,5.167713
831764,5.170774,0.037483,5.167713
1000000,5.170880,0.034185,5.167713
1202265,5.173435,0.031184,5.167713
1445440,5.188931,0.028479,5.167713
1737801,5.191407,0.025979,5.167713
2089297,5.184090,0.023678,5.167713
2511887,5.182348,0.021591,5.167713
3019952,5.176496,0.019681,5.167713
3630781,5.178178,0.017952,5.167713
4365159,5.177111,0.016371,5.167713
5248075,5.175816,0.014929,5.167713
6309574,5.176976,0.013617,5.167713
7585776,5.172215,0.012413,5.167713
9120109,5.168949,0.011318,5.167713
10964782,5.171671,0.010324,5.167713
13182568,5.170134,0.009415,5.167713
15848932,5.169881,0.008586,5.167713
19054608,5.167773,0.007829,5.167713
22908677,5.168392,0.007141,5.167713
27542288,5.167636,0.006512,5.167713
33113113,5.167217,0.005939,5.167713
39810718,5.167832,0.005416,5.167713
47863010,5.165449,0.004939,5.167713
57543994,5.167576,0.004505,5.167713
69183098,5.167179,0.004109,5.167713
83176378,5.166629,0.003747,5.167713
100000000,5.167050,0.003417,5.167713
